가맹점명,연월,매출액
북문김밥,2022-01,1200000
북문김밥,2022-01,1350000
북문김밥,2022-01,1100000
북문김밥,2022-01,1600000
북문김밥,2022-01,1700000
경대치킨,2022-01,2100000
경대치킨,2022-01,1950000
경대치킨,2022-01,1800000
경대치킨,2022-01,2600000
경대치킨,2022-01,2750000
북문분식,2022-01,900000
북문분식,2022-01,950000
북문분식,2022-01,880000
북문분식,2022-01,1300000
북문분식,2022-01,1400000
경대카페,2022-01,1500000
경대카페,2022-01,1550000
경대카페,2022-01,1400000
경대카페,2022-01,2000000
경대카페,2022-01,2100000
북문한식당,2022-01,1800000
북문한식당,2022-01,1750000
북문한식당,2022-01,1650000
북문한식당,2022-01,2200000
북문한식당,2022-01,2300000
